id,MUNICÍPIO,LOCALIDADE,LONGITUDE,LATITUDE,CÓDIGO DO,TI,CODIBGE,POPULAÇÃ,DATA DA PE,AQUÍFERO,FINALIDADE,PROFUNDIDA,VAZÃO (m³),ESTADO,RESÍDUO T,CLORETO,DUREZA,NITRATO,FERRO,COR APAREN,FLUORETO,MANGANÊS,NITRATO (1,PH,SULFATO,TURBIDEZ,ESTADO QUA,DATA DA CO,DATA DA AN,POPULAÇ_1,CÓDIGO _1
418,Brumado,FAZENDA FORMOSO,-41.561111,-14.292499,13,Sertão Produtivo,2904605,,17/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","6,08",VAZÃO APROVEITÁVEL,"521","279,3","145","<0,003","<0,07","11","0,09","0,091","<0,003","6,7","29,12","1",UTILIZÁVEL APÓS TRATAMENTO,19/02/2023,24/03/2023,,"-"
419,Conceição do Coité,LAGOA FERRADA,-39.230277,-11.687499,4,Sisal,2908408,,16/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"80","3,44",VAZÃO APROVEITÁVEL,"7910","3892","1640","6,12","<0,07","13","0,092","0,285","6,12","7,45","1290","0,68",UTILIZÁVEL APÓS TRATAMENTO,21/02/2023,30/03/2023,,"-"
420,Nordestina,ASSENTAMENTO NOSSA SENHORA DE APARECIDA,-39.367221,-10.821666,4,Sisal,2922656,,14/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"120","4,86",VAZÃO APROVEITÁVEL,"5610","3278","1850","4,24","<0,07","10","<0,0033","0,704","4,24","6,81","975",<Null>,UTILIZÁVEL APÓS TRATAMENTO,24/02/2023,24/03/2023,,"-"
421,Ribeirão do Largo,CAATINGA,-40.831388,-15.383054,20,Sudoeste Baiano,2926657,,07/02/2023,FISSURAL,NÃO INFORMADO,"150","0,36",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
422,Caetité,LAGOA DA COBRA,-42.444166,-13.680832,13,Sertão Produtivo,2905206,,05/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","4,35",VAZÃO APROVEITÁVEL,"834","401,23","473,22","12,07","<0,08","<5,00","0,08","0,2","12,07","7,17","89,04","0,47",UTILIZÁVEL APÓS TRATAMENTO,05/07/2023,14/08/2023,,"-"
423,Aracatu,LAGOA DA CARAÍBA,-41.557777,-14.340277,20,Sudoeste Baiano,2902005,,05/02/2023,FISSURAL,NÃO INFORMADO,"120","4,89",VAZÃO APROVEITÁVEL,"1030","273","412","2,47","0,0694","7","0,38","0,105","2,47","7,44","35,3","2,4",UTILIZÁVEL APÓS TRATAMENTO,04/04/2023,26/04/2023,,"-"
424,Caetité,HOSPITAL MUNICIPAL DE CAETITÉ,-42.49361,-14.061944,13,Sertão Produtivo,2905206,,04/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"120","8,53",VAZÃO APROVEITÁVEL,"2036","524","1030","<0,1","1,96","60","0,18","0,779","<0,1","6,82","585","41,4",UTILIZÁVEL APÓS TRATAMENTO,21/03/2023,26/04/2023,,"-"
425,Caraíbas,RIACHÃO DA LAGOINHA,-41.289444,-14.678332,20,Sudoeste Baiano,2906899,,02/02/2023,FISSURAL,NÃO INFORMADO,"100","3,46",VAZÃO APROVEITÁVEL,"736","200","421","<1,1","1,04","75","0,443","0,39","<1,1","7,15","78","11,2",UTILIZÁVEL APÓS TRATAMENTO,12/04/2023,22/05/2023,,"-"
426,Caetité,CHAPADA,-42.628332,-13.671388,13,Sertão Produtivo,2905206,,31/01/2023,FISSURAL,ABASTECIMENTO HUMANO,"120","44",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
427,Caraíbas,OLHO D'ÁGUA DO VIANA,-41.273054,-14.658333,20,Sudoeste Baiano,2906899,,31/01/2023,FISSURAL,NÃO INFORMADO,"120","4,3",VAZÃO APROVEITÁVEL,"2350","678","854","<1,1","2,07","105","<0,400","0,5","<1,1","7,08","83","15,2",UTILIZÁVEL APÓS TRATAMENTO,13/04/2023,22/05/2023,,"-"
428,Vitória da Conquista,MUTUM,-41.020554,-15.384721,20,Sudoeste Baiano,2933307,,27/01/2023,FISSURAL,ABASTECIMENTO HUMANO,"120","2,12",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
429,Malhada de Pedras,LAGOA DO CARAUNO,-41.815277,-14.421943,13,Sertão Produtivo,2920304,,25/01/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","6,83",VAZÃO APROVEITÁVEL,"784","328,4","329,68","13,2","<0,08",<5,"<0,0033","0,1","13,2","7,03","86,2",<Null>,UTILIZÁVEL APÓS TRATAMENTO,22/06/2023,14/08/2023,,"-"
430,Casa Nova,COMUNIDADE QUILOMBOLA DO SITIO LAGOINHA,-41.278054,-9.299444,10,Sertão do São Francisco,2907202,,22/01/2023,FISSURAL,ABASTECIMENTO HUMANO,"70","2,72",VAZÃO APROVEITÁVEL,"4110","1607","1090","18","0,15",<5,"4,63",<Null>,"18","7,42",<Null>,<Null>,ADEQUADA PARA CONSUMO HUMANO,10/03/2023,06/04/2023,,"-"
431,Sobradinho,AGROVILA MANDACARU - ASSENTAM.VALE DA CONQUISTA 2,-40.801111,-9.509722,10,Sertão do São Francisco,2930774,,18/01/2023,FISSURAL,ABASTECIMENTO HUMANO,"60","15,66",VAZÃO APROVEITÁVEL,"1640","443","301","30,4","<0,08","9","0,095",<Null>,"30,4","6,7","22,9",<Null>,UTILIZÁVEL APÓS TRATAMENTO,27/05/2023,03/07/2023,,"-"
432,Malhada de Pedras,LAGOA DA BOIADEIRA,-41.816388,-14.311111,13,Sertão Produtivo,2920304,,16/01/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","3,1",VAZÃO APROVEITÁVEL,"2606","1100","1220","18,5","0,0966","7","0,81","0,366","18,5","7,07","639","3,4",UTILIZÁVEL APÓS TRATAMENTO,02/04/2023,28/04/2023,,"-"
433,Rio do Antônio,LAGOA BONITA,-42.002222,-14.207777,13,Sertão Produtivo,2926806,,14/01/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","0,89",VAZÃO APROVEITÁVEL,"504","104","142","14,7","0,267","7","0,87","0,148","14,7","7,37","26,1","2,4",UTILIZÁVEL APÓS TRATAMENTO,31/03/2023,26/04/2023,,"-"
434,Caetanos,LAGOA DAS ÉGUAS,-40.985277,-14.256388,20,Sudoeste Baiano,2905156,,18/12/2022,FISSURAL,NÃO INFORMADO,"120","0,97",VAZÃO APROVEITÁVEL,"2500","1268","760","2,52","<0,07","15","0,92","1,93","2,52","6,76","328,2","0,58",UTILIZÁVEL APÓS TRATAMENTO,23/01/2023,24/03/2023,,"-"
435,Caetanos,LAGOA DO CAETANO (FAZ.),-40.981388,-14.294444,20,Sudoeste Baiano,2905156,,16/12/2022,FISSURAL,ABASTECIMENTO HUMANO,"100","2,42",VAZÃO APROVEITÁVEL,"1240","622","420","6,34","0,11","145","0,08","1,65","6,34","6,48","89,33","21,3",UTILIZÁVEL APÓS TRATAMENTO,21/01/2023,24/03/2023,,"-"
436,Seabra,VAZANTE,-41.810833,-12.658611,3,Chapada Diamantina,2929909,,08/12/2022,FISSURAL,ABASTECIMENTO HUMANO,"150","8,14",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
437,Seabra,VAZANTE,-41.81,-12.655277,3,Chapada Diamantina,2929909,,07/12/2022,FISSURAL,ABASTECIMENTO HUMANO,"180","1,58",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
438,Mundo Novo,ESCOLA TÉCNICA FAMÍLIA AGRÍCOLA DIVINA PASTORA,-40.500277,-12.056666,14,Piemonte do Paraguaçu,2922102,,28/11/2022,FISSURAL,NÃO INFORMADO,"120","2,33",VAZÃO APROVEITÁVEL,"5000","3158","1860","2,57","0,38","46","0,0038","0,598","2,57","7,31","427,5","0,71",UTILIZÁVEL APÓS TRATAMENTO,19/02/2023,24/03/2023,,"-"
439,Mundo Novo,JEQUITIBA,-40.482221,-12.728888,14,Piemonte do Paraguaçu,2922102,,25/11/2022,FISSURAL,NÃO INFORMADO,"120","4,36",VAZÃO APROVEITÁVEL,"4510","2157","1980","<5,5","0,14","12","4,88","0,377","<5,5","7,4","340","0,84",UTILIZÁVEL APÓS TRATAMENTO,18/02/2023,06/04/2023,,"-"
440,Morro do Chapéu,SEDE 5-A - FAZ. AREIA BRANCA,-41.180277,-11.556388,3,Chapada Diamantina,2921708,,22/11/2022,FISSURAL,ABASTECIMENTO HUMANO,"112","20,31",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
441,Queimadas,CONSERVA,-39.965277,-11.107777,4,Sisal,2925808,,19/11/2022,FISSURAL,ABASTECIMENTO HUMANO,"120","3,06",VAZÃO APROVEITÁVEL,"1070","870","899","2,49","0,102",<5,"0,4","0,22","2,49","7,34","53,4","0,73",UTILIZÁVEL APÓS TRATAMENTO,22/11/2022,16/12/2022,,"-"
